FLOWplateWell,uniqID,OD_well,putida,protegens,grimontii,veronii,CommRich,Date,Day,Incubator,Plate,Heat,Heat_Day,Recov_Day
plate1-C11,24-07-08 H1 C6,C6,0,0,0,0,0,24-07-08,5,H1,1,48,NA,2
plate1-D11,24-07-08 H1 D6,D6,0,0,0,0,0,24-07-08,5,H1,1,48,NA,2
plate1-E11,24-07-08 H1 E6,E6,0,0,0,0,0,24-07-08,5,H1,1,48,NA,2
plate1-F11,24-07-08 H1 F6,F6,0,0,0,0,0,24-07-08,5,H1,1,48,NA,2
plate1-G11,24-07-08 H1 G6,G6,0,0,0,0,0,24-07-08,5,H1,1,48,NA,2
plate1-H11,24-07-08 H1 H6,H6,1,0,0,0,1,24-07-08,5,H1,1,48,NA,2
plate2-A1,24-07-08 H1 A7,A7,1,1,0,0,2,24-07-08,1,H1,2,48,1,NA
plate2-B1,24-07-08 H1 B7,B7,1,0,1,0,2,24-07-08,1,H1,2,48,1,NA
plate2-C1,24-07-08 H1 C7,C7,1,0,0,1,2,24-07-08,1,H1,2,48,1,NA
plate2-D1,24-07-08 H1 D7,D7,0,1,1,0,2,24-07-08,1,H1,2,48,1,NA
plate2-E1,24-07-08 H1 E7,E7,1,0,0,0,1,24-07-08,1,H1,2,48,1,NA
plate2-F1,24-07-08 H1 F7,F7,0,1,0,0,1,24-07-08,1,H1,2,48,1,NA
plate2-G1,24-07-08 H1 G7,G7,0,0,1,0,1,24-07-08,1,H1,2,48,1,NA
plate2-H1,24-07-08 H1 H7,H7,0,0,0,1,1,24-07-08,1,H1,2,48,1,NA
plate2-A5,24-07-08 H1 A9,A9,1,0,0,1,2,24-07-08,1,H1,2,48,1,NA
plate2-B5,24-07-08 H1 B9,B9,0,1,1,0,2,24-07-08,1,H1,2,48,1,NA
plate2-C5,24-07-08 H1 C9,C9,1,0,0,0,1,24-07-08,1,H1,2,48,1,NA
plate2-D5,24-07-08 H1 D9,D9,0,1,0,0,1,24-07-08,1,H1,2,48,1,NA
plate2-E5,24-07-08 H1 E9,E9,0,0,1,0,1,24-07-08,1,H1,2,48,1,NA
plate2-F5,24-07-08 H1 F9,F9,0,0,0,1,1,24-07-08,1,H1,2,48,1,NA
plate2-G5,24-07-08 H1 G9,G9,1,1,0,0,2,24-07-08,1,H1,2,48,1,NA
plate2-H5,24-07-08 H1 H9,H9,1,0,1,0,2,24-07-08,1,H1,2,48,1,NA
plate2-A7,24-07-08 H1 A10,A10,1,1,1,1,4,24-07-08,1,H1,2,48,1,NA
plate2-B7,24-07-08 H1 B10,B10,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-C7,24-07-08 H1 C10,C10,0,1,0,1,2,24-07-08,1,H1,2,48,1,NA
plate2-D7,24-07-08 H1 D10,D10,0,0,1,1,2,24-07-08,1,H1,2,48,1,NA
plate2-E7,24-07-08 H1 E10,E10,1,1,1,0,3,24-07-08,1,H1,2,48,1,NA
plate2-F7,24-07-08 H1 F10,F10,1,1,0,1,3,24-07-08,1,H1,2,48,1,NA
plate2-G7,24-07-08 H1 G10,G10,1,0,1,1,3,24-07-08,1,H1,2,48,1,NA
plate2-H7,24-07-08 H1 H10,H10,0,1,1,1,3,24-07-08,1,H1,2,48,1,NA
plate2-A9,24-07-08 H1 A11,A11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-B9,24-07-08 H1 B11,B11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-C9,24-07-08 H1 C11,C11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-D9,24-07-08 H1 D11,D11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-E9,24-07-08 H1 E11,E11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-F9,24-07-08 H1 F11,F11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-G9,24-07-08 H1 G11,G11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-H9,24-07-08 H1 H11,H11,0,1,0,1,2,24-07-08,1,H1,2,48,1,NA
plate2-A11,24-07-08 H1 A12,A12,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-B11,24-07-08 H1 B12,B12,1,1,1,1,4,24-07-08,1,H1,2,48,1,NA
plate2-C11,24-07-08 H1 C12,C12,0,1,1,1,3,24-07-08,1,H1,2,48,1,NA
plate2-D11,24-07-08 H1 D12,D12,1,0,1,1,3,24-07-08,1,H1,2,48,1,NA
plate2-E11,24-07-08 H1 E12,E12,1,1,0,1,3,24-07-08,1,H1,2,48,1,NA
plate2-F11,24-07-08 H1 F12,F12,1,1,1,0,3,24-07-08,1,H1,2,48,1,NA
plate2-G11,24-07-08 H1 G12,G12,0,0,1,1,2,24-07-08,1,H1,2,48,1,NA
plate2-H11,24-07-08 H1 H12,H12,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA
plate2-A1,24-07-08 Epoch A7,A7,1,1,0,0,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-B1,24-07-08 Epoch B7,B7,1,0,1,0,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-C1,24-07-08 Epoch C7,C7,1,0,0,1,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-D1,24-07-08 Epoch D7,D7,0,1,1,0,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-E1,24-07-08 Epoch E7,E7,1,0,0,0,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-F1,24-07-08 Epoch F7,F7,0,1,0,0,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-G1,24-07-08 Epoch G7,G7,0,0,1,0,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-H1,24-07-08 Epoch H7,H7,0,0,0,1,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-A5,24-07-08 Epoch A9,A9,1,0,0,1,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-B5,24-07-08 Epoch B9,B9,0,1,1,0,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-C5,24-07-08 Epoch C9,C9,1,0,0,0,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-D5,24-07-08 Epoch D9,D9,0,1,0,0,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-E5,24-07-08 Epoch E9,E9,0,0,1,0,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-F5,24-07-08 Epoch F9,F9,0,0,0,1,1,24-07-08,1,Epoch,2,0,NA,NA
plate2-G5,24-07-08 Epoch G9,G9,1,1,0,0,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-H5,24-07-08 Epoch H9,H9,1,0,1,0,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-A7,24-07-08 Epoch A10,A10,1,1,1,1,4,24-07-08,1,Epoch,2,0,NA,NA
plate2-B7,24-07-08 Epoch B10,B10,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-C7,24-07-08 Epoch C10,C10,0,1,0,1,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-D7,24-07-08 Epoch D10,D10,0,0,1,1,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-E7,24-07-08 Epoch E10,E10,1,1,1,0,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-F7,24-07-08 Epoch F10,F10,1,1,0,1,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-G7,24-07-08 Epoch G10,G10,1,0,1,1,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-H7,24-07-08 Epoch H10,H10,0,1,1,1,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-A9,24-07-08 Epoch A11,A11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-B9,24-07-08 Epoch B11,B11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-C9,24-07-08 Epoch C11,C11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-D9,24-07-08 Epoch D11,D11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-E9,24-07-08 Epoch E11,E11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-F9,24-07-08 Epoch F11,F11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-G9,24-07-08 Epoch G11,G11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-H9,24-07-08 Epoch H11,H11,0,1,0,1,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-A11,24-07-08 Epoch A12,A12,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-B11,24-07-08 Epoch B12,B12,1,1,1,1,4,24-07-08,1,Epoch,2,0,NA,NA
plate2-C11,24-07-08 Epoch C12,C12,0,1,1,1,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-D11,24-07-08 Epoch D12,D12,1,0,1,1,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-E11,24-07-08 Epoch E12,E12,1,1,0,1,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-F11,24-07-08 Epoch F12,F12,1,1,1,0,3,24-07-08,1,Epoch,2,0,NA,NA
plate2-G11,24-07-08 Epoch G12,G12,0,0,1,1,2,24-07-08,1,Epoch,2,0,NA,NA
plate2-H11,24-07-08 Epoch H12,H12,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA
plate2-A1,24-07-08 Epoch A7,A7,1,1,0,0,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-B1,24-07-08 Epoch B7,B7,1,0,1,0,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-C1,24-07-08 Epoch C7,C7,1,0,0,1,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-D1,24-07-08 Epoch D7,D7,0,1,1,0,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-E1,24-07-08 Epoch E7,E7,1,0,0,0,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-F1,24-07-08 Epoch F7,F7,0,1,0,0,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-G1,24-07-08 Epoch G7,G7,0,0,1,0,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-H1,24-07-08 Epoch H7,H7,0,0,0,1,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-A5,24-07-08 Epoch A9,A9,1,0,0,1,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-B5,24-07-08 Epoch B9,B9,0,1,1,0,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-C5,24-07-08 Epoch C9,C9,1,0,0,0,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-D5,24-07-08 Epoch D9,D9,0,1,0,0,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-E5,24-07-08 Epoch E9,E9,0,0,1,0,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-F5,24-07-08 Epoch F9,F9,0,0,0,1,1,24-07-08,2,Epoch,2,0,NA,NA
plate2-G5,24-07-08 Epoch G9,G9,1,1,0,0,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-H5,24-07-08 Epoch H9,H9,1,0,1,0,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-A7,24-07-08 Epoch A10,A10,1,1,1,1,4,24-07-08,2,Epoch,2,0,NA,NA
plate2-B7,24-07-08 Epoch B10,B10,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-C7,24-07-08 Epoch C10,C10,0,1,0,1,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-D7,24-07-08 Epoch D10,D10,0,0,1,1,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-E7,24-07-08 Epoch E10,E10,1,1,1,0,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-F7,24-07-08 Epoch F10,F10,1,1,0,1,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-G7,24-07-08 Epoch G10,G10,1,0,1,1,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-H7,24-07-08 Epoch H10,H10,0,1,1,1,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-A9,24-07-08 Epoch A11,A11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-B9,24-07-08 Epoch B11,B11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-C9,24-07-08 Epoch C11,C11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-D9,24-07-08 Epoch D11,D11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-E9,24-07-08 Epoch E11,E11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-F9,24-07-08 Epoch F11,F11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-G9,24-07-08 Epoch G11,G11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-H9,24-07-08 Epoch H11,H11,0,1,0,1,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-A11,24-07-08 Epoch A12,A12,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-B11,24-07-08 Epoch B12,B12,1,1,1,1,4,24-07-08,2,Epoch,2,0,NA,NA
plate2-C11,24-07-08 Epoch C12,C12,0,1,1,1,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-D11,24-07-08 Epoch D12,D12,1,0,1,1,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-E11,24-07-08 Epoch E12,E12,1,1,0,1,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-F11,24-07-08 Epoch F12,F12,1,1,1,0,3,24-07-08,2,Epoch,2,0,NA,NA
plate2-G11,24-07-08 Epoch G12,G12,0,0,1,1,2,24-07-08,2,Epoch,2,0,NA,NA
plate2-H11,24-07-08 Epoch H12,H12,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA
plate2-A1,24-07-08 H1 A7,A7,1,1,0,0,2,24-07-08,2,H1,2,48,2,NA
plate2-B1,24-07-08 H1 B7,B7,1,0,1,0,2,24-07-08,2,H1,2,48,2,NA
plate2-C1,24-07-08 H1 C7,C7,1,0,0,1,2,24-07-08,2,H1,2,48,2,NA
plate2-D1,24-07-08 H1 D7,D7,0,1,1,0,2,24-07-08,2,H1,2,48,2,NA
plate2-E1,24-07-08 H1 E7,E7,1,0,0,0,1,24-07-08,2,H1,2,48,2,NA
plate2-F1,24-07-08 H1 F7,F7,0,1,0,0,1,24-07-08,2,H1,2,48,2,NA
plate2-G1,24-07-08 H1 G7,G7,0,0,1,0,1,24-07-08,2,H1,2,48,2,NA
plate2-H1,24-07-08 H1 H7,H7,0,0,0,1,1,24-07-08,2,H1,2,48,2,NA
plate2-A5,24-07-08 H1 A9,A9,1,0,0,1,2,24-07-08,2,H1,2,48,2,NA
plate2-B5,24-07-08 H1 B9,B9,0,1,1,0,2,24-07-08,2,H1,2,48,2,NA
plate2-C5,24-07-08 H1 C9,C9,1,0,0,0,1,24-07-08,2,H1,2,48,2,NA
plate2-D5,24-07-08 H1 D9,D9,0,1,0,0,1,24-07-08,2,H1,2,48,2,NA
plate2-E5,24-07-08 H1 E9,E9,0,0,1,0,1,24-07-08,2,H1,2,48,2,NA
plate2-F5,24-07-08 H1 F9,F9,0,0,0,1,1,24-07-08,2,H1,2,48,2,NA
plate2-G5,24-07-08 H1 G9,G9,1,1,0,0,2,24-07-08,2,H1,2,48,2,NA
plate2-H5,24-07-08 H1 H9,H9,1,0,1,0,2,24-07-08,2,H1,2,48,2,NA
plate2-A7,24-07-08 H1 A10,A10,1,1,1,1,4,24-07-08,2,H1,2,48,2,NA
plate2-B7,24-07-08 H1 B10,B10,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-C7,24-07-08 H1 C10,C10,0,1,0,1,2,24-07-08,2,H1,2,48,2,NA
plate2-D7,24-07-08 H1 D10,D10,0,0,1,1,2,24-07-08,2,H1,2,48,2,NA
plate2-E7,24-07-08 H1 E10,E10,1,1,1,0,3,24-07-08,2,H1,2,48,2,NA
plate2-F7,24-07-08 H1 F10,F10,1,1,0,1,3,24-07-08,2,H1,2,48,2,NA
plate2-G7,24-07-08 H1 G10,G10,1,0,1,1,3,24-07-08,2,H1,2,48,2,NA
plate2-H7,24-07-08 H1 H10,H10,0,1,1,1,3,24-07-08,2,H1,2,48,2,NA
plate2-A9,24-07-08 H1 A11,A11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-B9,24-07-08 H1 B11,B11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-C9,24-07-08 H1 C11,C11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-D9,24-07-08 H1 D11,D11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-E9,24-07-08 H1 E11,E11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-F9,24-07-08 H1 F11,F11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-G9,24-07-08 H1 G11,G11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-H9,24-07-08 H1 H11,H11,0,1,0,1,2,24-07-08,2,H1,2,48,2,NA
plate2-A11,24-07-08 H1 A12,A12,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-B11,24-07-08 H1 B12,B12,1,1,1,1,4,24-07-08,2,H1,2,48,2,NA
plate2-C11,24-07-08 H1 C12,C12,0,1,1,1,3,24-07-08,2,H1,2,48,2,NA
plate2-D11,24-07-08 H1 D12,D12,1,0,1,1,3,24-07-08,2,H1,2,48,2,NA
plate2-E11,24-07-08 H1 E12,E12,1,1,0,1,3,24-07-08,2,H1,2,48,2,NA
plate2-F11,24-07-08 H1 F12,F12,1,1,1,0,3,24-07-08,2,H1,2,48,2,NA
plate2-G11,24-07-08 H1 G12,G12,0,0,1,1,2,24-07-08,2,H1,2,48,2,NA
plate2-H11,24-07-08 H1 H12,H12,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA
plate2-A1,24-07-08 Epoch A7,A7,1,1,0,0,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-B1,24-07-08 Epoch B7,B7,1,0,1,0,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-C1,24-07-08 Epoch C7,C7,1,0,0,1,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-D1,24-07-08 Epoch D7,D7,0,1,1,0,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-E1,24-07-08 Epoch E7,E7,1,0,0,0,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-F1,24-07-08 Epoch F7,F7,0,1,0,0,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-G1,24-07-08 Epoch G7,G7,0,0,1,0,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-H1,24-07-08 Epoch H7,H7,0,0,0,1,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-A5,24-07-08 Epoch A9,A9,1,0,0,1,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-B5,24-07-08 Epoch B9,B9,0,1,1,0,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-C5,24-07-08 Epoch C9,C9,1,0,0,0,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-D5,24-07-08 Epoch D9,D9,0,1,0,0,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-E5,24-07-08 Epoch E9,E9,0,0,1,0,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-F5,24-07-08 Epoch F9,F9,0,0,0,1,1,24-07-08,3,Epoch,2,0,NA,NA
plate2-G5,24-07-08 Epoch G9,G9,1,1,0,0,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-H5,24-07-08 Epoch H9,H9,1,0,1,0,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-A7,24-07-08 Epoch A10,A10,1,1,1,1,4,24-07-08,3,Epoch,2,0,NA,NA
plate2-B7,24-07-08 Epoch B10,B10,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-C7,24-07-08 Epoch C10,C10,0,1,0,1,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-D7,24-07-08 Epoch D10,D10,0,0,1,1,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-E7,24-07-08 Epoch E10,E10,1,1,1,0,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-F7,24-07-08 Epoch F10,F10,1,1,0,1,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-G7,24-07-08 Epoch G10,G10,1,0,1,1,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-H7,24-07-08 Epoch H10,H10,0,1,1,1,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-A9,24-07-08 Epoch A11,A11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-B9,24-07-08 Epoch B11,B11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-C9,24-07-08 Epoch C11,C11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-D9,24-07-08 Epoch D11,D11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-E9,24-07-08 Epoch E11,E11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-F9,24-07-08 Epoch F11,F11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-G9,24-07-08 Epoch G11,G11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-H9,24-07-08 Epoch H11,H11,0,1,0,1,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-A11,24-07-08 Epoch A12,A12,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-B11,24-07-08 Epoch B12,B12,1,1,1,1,4,24-07-08,3,Epoch,2,0,NA,NA
plate2-C11,24-07-08 Epoch C12,C12,0,1,1,1,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-D11,24-07-08 Epoch D12,D12,1,0,1,1,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-E11,24-07-08 Epoch E12,E12,1,1,0,1,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-F11,24-07-08 Epoch F12,F12,1,1,1,0,3,24-07-08,3,Epoch,2,0,NA,NA
plate2-G11,24-07-08 Epoch G12,G12,0,0,1,1,2,24-07-08,3,Epoch,2,0,NA,NA
plate2-H11,24-07-08 Epoch H12,H12,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA
plate2-A1,24-07-08 H1 A7,A7,1,1,0,0,2,24-07-08,3,H1,2,48,3,NA
plate2-B1,24-07-08 H1 B7,B7,1,0,1,0,2,24-07-08,3,H1,2,48,3,NA
plate2-C1,24-07-08 H1 C7,C7,1,0,0,1,2,24-07-08,3,H1,2,48,3,NA
plate2-D1,24-07-08 H1 D7,D7,0,1,1,0,2,24-07-08,3,H1,2,48,3,NA
plate2-E1,24-07-08 H1 E7,E7,1,0,0,0,1,24-07-08,3,H1,2,48,3,NA
plate2-F1,24-07-08 H1 F7,F7,0,1,0,0,1,24-07-08,3,H1,2,48,3,NA
plate2-G1,24-07-08 H1 G7,G7,0,0,1,0,1,24-07-08,3,H1,2,48,3,NA
plate2-H1,24-07-08 H1 H7,H7,0,0,0,1,1,24-07-08,3,H1,2,48,3,NA
plate2-A5,24-07-08 H1 A9,A9,1,0,0,1,2,24-07-08,3,H1,2,48,3,NA
plate2-B5,24-07-08 H1 B9,B9,0,1,1,0,2,24-07-08,3,H1,2,48,3,NA
plate2-C5,24-07-08 H1 C9,C9,1,0,0,0,1,24-07-08,3,H1,2,48,3,NA
plate2-D5,24-07-08 H1 D9,D9,0,1,0,0,1,24-07-08,3,H1,2,48,3,NA
plate2-E5,24-07-08 H1 E9,E9,0,0,1,0,1,24-07-08,3,H1,2,48,3,NA
plate2-F5,24-07-08 H1 F9,F9,0,0,0,1,1,24-07-08,3,H1,2,48,3,NA
plate2-G5,24-07-08 H1 G9,G9,1,1,0,0,2,24-07-08,3,H1,2,48,3,NA
plate2-H5,24-07-08 H1 H9,H9,1,0,1,0,2,24-07-08,3,H1,2,48,3,NA
plate2-A7,24-07-08 H1 A10,A10,1,1,1,1,4,24-07-08,3,H1,2,48,3,NA
plate2-B7,24-07-08 H1 B10,B10,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-C7,24-07-08 H1 C10,C10,0,1,0,1,2,24-07-08,3,H1,2,48,3,NA
plate2-D7,24-07-08 H1 D10,D10,0,0,1,1,2,24-07-08,3,H1,2,48,3,NA
plate2-E7,24-07-08 H1 E10,E10,1,1,1,0,3,24-07-08,3,H1,2,48,3,NA
plate2-F7,24-07-08 H1 F10,F10,1,1,0,1,3,24-07-08,3,H1,2,48,3,NA
plate2-G7,24-07-08 H1 G10,G10,1,0,1,1,3,24-07-08,3,H1,2,48,3,NA
plate2-H7,24-07-08 H1 H10,H10,0,1,1,1,3,24-07-08,3,H1,2,48,3,NA
plate2-A9,24-07-08 H1 A11,A11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-B9,24-07-08 H1 B11,B11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-C9,24-07-08 H1 C11,C11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-D9,24-07-08 H1 D11,D11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-E9,24-07-08 H1 E11,E11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-F9,24-07-08 H1 F11,F11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-G9,24-07-08 H1 G11,G11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-H9,24-07-08 H1 H11,H11,0,1,0,1,2,24-07-08,3,H1,2,48,3,NA
plate2-A11,24-07-08 H1 A12,A12,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-B11,24-07-08 H1 B12,B12,1,1,1,1,4,24-07-08,3,H1,2,48,3,NA
plate2-C11,24-07-08 H1 C12,C12,0,1,1,1,3,24-07-08,3,H1,2,48,3,NA
plate2-D11,24-07-08 H1 D12,D12,1,0,1,1,3,24-07-08,3,H1,2,48,3,NA
plate2-E11,24-07-08 H1 E12,E12,1,1,0,1,3,24-07-08,3,H1,2,48,3,NA
plate2-F11,24-07-08 H1 F12,F12,1,1,1,0,3,24-07-08,3,H1,2,48,3,NA
plate2-G11,24-07-08 H1 G12,G12,0,0,1,1,2,24-07-08,3,H1,2,48,3,NA
plate2-H11,24-07-08 H1 H12,H12,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA
plate2-A1,24-07-08 Epoch A7,A7,1,1,0,0,2,24-07-08,4,Epoch,2,0,NA,NA
plate2-B1,24-07-08 Epoch B7,B7,1,0,1,0,2,24-07-08,4,Epoch,2,0,NA,NA
plate2-C1,24-07-08 Epoch C7,C7,1,0,0,1,2,24-07-08,4,Epoch,2,0,NA,NA
plate2-D1,24-07-08 Epoch D7,D7,0,1,1,0,2,24-07-08,4,Epoch,2,0,NA,NA
plate2-E1,24-07-08 Epoch E7,E7,1,0,0,0,1,24-07-08,4,Epoch,2,0,NA,NA
plate2-F1,24-07-08 Epoch F7,F7,0,1,0,0,1,24-07-08,4,Epoch,2,0,NA,NA
plate2-G1,24-07-08 Epoch G7,G7,0,0,1,0,1,24-07-08,4,Epoch,2,0,NA,NA
plate2-H1,24-07-08 Epoch H7,H7,0,0,0,1,1,24-07-08,4,Epoch,2,0,NA,NA
plate2-A5,24-07-08 Epoch A9,A9,1,0,0,1,2,24-07-08,4,Epoch,2,0,NA,NA
plate2-B5,24-07-08 Epoch B9,B9,0,1,1,0,2,24-07-08,4,Epoch,2,0,NA,NA
plate2-C5,24-07-08 Epoch C9,C9,1,0,0,0,1,24-07-08,4,Epoch,2,0,NA,NA
