FLOWplateWell,uniqID,OD_well,putida,protegens,grimontii,veronii,CommRich,Date,Day,Incubator,Plate,Heat,Heat_Day,Recov_Day,Count_grimontii,Count_putida,Count_protegens,Count_veronii,Volume
plate2-B7,24-07-08 H1 B10,B10,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-C7,24-07-08 H1 C10,C10,0,1,0,1,2,24-07-08,1,H1,2,48,1,NA,0,10,9048,0,38
plate2-D7,24-07-08 H1 D10,D10,0,0,1,1,2,24-07-08,1,H1,2,48,1,NA,242,0,3,3102,22
plate2-E7,24-07-08 H1 E10,E10,1,1,1,0,3,24-07-08,1,H1,2,48,1,NA,0,2,6685,0,39
plate2-F7,24-07-08 H1 F10,F10,1,1,0,1,3,24-07-08,1,H1,2,48,1,NA,0,0,6984,0,39
plate2-G7,24-07-08 H1 G10,G10,1,0,1,1,3,24-07-08,1,H1,2,48,1,NA,5,5847,2,203,11
plate2-H7,24-07-08 H1 H10,H10,0,1,1,1,3,24-07-08,1,H1,2,48,1,NA,0,6,8597,1,33
plate2-A9,24-07-08 H1 A11,A11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-B9,24-07-08 H1 B11,B11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-C9,24-07-08 H1 C11,C11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-D9,24-07-08 H1 D11,D11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-E9,24-07-08 H1 E11,E11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-F9,24-07-08 H1 F11,F11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-G9,24-07-08 H1 G11,G11,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-H9,24-07-08 H1 H11,H11,0,1,0,1,2,24-07-08,1,H1,2,48,1,NA,0,0,9246,0,32
plate2-A11,24-07-08 H1 A12,A12,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-B11,24-07-08 H1 B12,B12,1,1,1,1,4,24-07-08,1,H1,2,48,1,NA,0,1,7366,0,24
plate2-C11,24-07-08 H1 C12,C12,0,1,1,1,3,24-07-08,1,H1,2,48,1,NA,0,0,9365,2,21
plate2-D11,24-07-08 H1 D12,D12,1,0,1,1,3,24-07-08,1,H1,2,48,1,NA,10,6233,2,355,9
plate2-E11,24-07-08 H1 E12,E12,1,1,0,1,3,24-07-08,1,H1,2,48,1,NA,0,1,7693,0,33
plate2-F11,24-07-08 H1 F12,F12,1,1,1,0,3,24-07-08,1,H1,2,48,1,NA,0,0,7407,0,31
plate2-G11,24-07-08 H1 G12,G12,0,0,1,1,2,24-07-08,1,H1,2,48,1,NA,638,1,3,3014,33
plate2-H11,24-07-08 H1 H12,H12,0,0,0,0,0,24-07-08,1,H1,2,48,1,NA,NA,NA,NA,NA,NA
plate2-A1,24-07-08 Epoch A7,A7,1,1,0,0,2,24-07-08,1,Epoch,2,0,NA,NA,0,7,5365,0,38
plate2-B1,24-07-08 Epoch B7,B7,1,0,1,0,2,24-07-08,1,Epoch,2,0,NA,NA,866,4745,5,4,24
plate2-C1,24-07-08 Epoch C7,C7,1,0,0,1,2,24-07-08,1,Epoch,2,0,NA,NA,0,4283,4,2971,8
plate2-D1,24-07-08 Epoch D7,D7,0,1,1,0,2,24-07-08,1,Epoch,2,0,NA,NA,2,0,6103,0,71
plate2-E1,24-07-08 Epoch E7,E7,1,0,0,0,1,24-07-08,1,Epoch,2,0,NA,NA,0,5943,15,3,18
plate2-F1,24-07-08 Epoch F7,F7,0,1,0,0,1,24-07-08,1,Epoch,2,0,NA,NA,2,1,6428,0,66
plate2-G1,24-07-08 Epoch G7,G7,0,0,1,0,1,24-07-08,1,Epoch,2,0,NA,NA,5165,0,3,5,49
plate2-H1,24-07-08 Epoch H7,H7,0,0,0,1,1,24-07-08,1,Epoch,2,0,NA,NA,0,1,1,7145,14
plate2-A5,24-07-08 Epoch A9,A9,1,0,0,1,2,24-07-08,1,Epoch,2,0,NA,NA,0,3451,17,3044,11
plate2-B5,24-07-08 Epoch B9,B9,0,1,1,0,2,24-07-08,1,Epoch,2,0,NA,NA,2,8,4878,1,70
plate2-C5,24-07-08 Epoch C9,C9,1,0,0,0,1,24-07-08,1,Epoch,2,0,NA,NA,0,6085,5,0,9
plate2-D5,24-07-08 Epoch D9,D9,0,1,0,0,1,24-07-08,1,Epoch,2,0,NA,NA,1,1,5838,1,60
plate2-E5,24-07-08 Epoch E9,E9,0,0,1,0,1,24-07-08,1,Epoch,2,0,NA,NA,6621,3,4,0,45
plate2-F5,24-07-08 Epoch F9,F9,0,0,0,1,1,24-07-08,1,Epoch,2,0,NA,NA,0,1,0,7504,10
plate2-G5,24-07-08 Epoch G9,G9,1,1,0,0,2,24-07-08,1,Epoch,2,0,NA,NA,2,1,5605,3,41
plate2-H5,24-07-08 Epoch H9,H9,1,0,1,0,2,24-07-08,1,Epoch,2,0,NA,NA,621,5232,3,20,14
plate2-A7,24-07-08 Epoch A10,A10,1,1,1,1,4,24-07-08,1,Epoch,2,0,NA,NA,0,18,6616,3,36
plate2-B7,24-07-08 Epoch B10,B10,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-C7,24-07-08 Epoch C10,C10,0,1,0,1,2,24-07-08,1,Epoch,2,0,NA,NA,0,8,5460,1,54
plate2-D7,24-07-08 Epoch D10,D10,0,0,1,1,2,24-07-08,1,Epoch,2,0,NA,NA,919,0,1,6633,12
plate2-E7,24-07-08 Epoch E10,E10,1,1,1,0,3,24-07-08,1,Epoch,2,0,NA,NA,0,2,5189,0,43
plate2-F7,24-07-08 Epoch F10,F10,1,1,0,1,3,24-07-08,1,Epoch,2,0,NA,NA,0,4,6181,11,43
plate2-G7,24-07-08 Epoch G10,G10,1,0,1,1,3,24-07-08,1,Epoch,2,0,NA,NA,178,4704,1,3207,11
plate2-H7,24-07-08 Epoch H10,H10,0,1,1,1,3,24-07-08,1,Epoch,2,0,NA,NA,0,20,5690,9,43
plate2-A9,24-07-08 Epoch A11,A11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-B9,24-07-08 Epoch B11,B11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-C9,24-07-08 Epoch C11,C11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-D9,24-07-08 Epoch D11,D11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-E9,24-07-08 Epoch E11,E11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-F9,24-07-08 Epoch F11,F11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-G9,24-07-08 Epoch G11,G11,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-H9,24-07-08 Epoch H11,H11,0,1,0,1,2,24-07-08,1,Epoch,2,0,NA,NA,1,1,5723,6,42
plate2-A11,24-07-08 Epoch A12,A12,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-B11,24-07-08 Epoch B12,B12,1,1,1,1,4,24-07-08,1,Epoch,2,0,NA,NA,0,2,6110,1,35
plate2-C11,24-07-08 Epoch C12,C12,0,1,1,1,3,24-07-08,1,Epoch,2,0,NA,NA,0,6,5411,0,50
plate2-D11,24-07-08 Epoch D12,D12,1,0,1,1,3,24-07-08,1,Epoch,2,0,NA,NA,186,4787,2,3366,9
plate2-E11,24-07-08 Epoch E12,E12,1,1,0,1,3,24-07-08,1,Epoch,2,0,NA,NA,0,0,6018,0,37
plate2-F11,24-07-08 Epoch F12,F12,1,1,1,0,3,24-07-08,1,Epoch,2,0,NA,NA,1,2,6026,6,39
plate2-G11,24-07-08 Epoch G12,G12,0,0,1,1,2,24-07-08,1,Epoch,2,0,NA,NA,988,0,0,6678,13
plate2-H11,24-07-08 Epoch H12,H12,0,0,0,0,0,24-07-08,1,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-A1,24-07-08 Epoch A7,A7,1,1,0,0,2,24-07-08,2,Epoch,2,0,NA,NA,1,5,4950,1,47
plate2-B1,24-07-08 Epoch B7,B7,1,0,1,0,2,24-07-08,2,Epoch,2,0,NA,NA,1432,6463,2,1,5
plate2-C1,24-07-08 Epoch C7,C7,1,0,0,1,2,24-07-08,2,Epoch,2,0,NA,NA,0,7728,2,549,9
plate2-D1,24-07-08 Epoch D7,D7,0,1,1,0,2,24-07-08,2,Epoch,2,0,NA,NA,0,0,5119,0,38
plate2-E1,24-07-08 Epoch E7,E7,1,0,0,0,1,24-07-08,2,Epoch,2,0,NA,NA,0,7429,2,0,4
plate2-F1,24-07-08 Epoch F7,F7,0,1,0,0,1,24-07-08,2,Epoch,2,0,NA,NA,0,2,5432,0,51
plate2-G1,24-07-08 Epoch G7,G7,0,0,1,0,1,24-07-08,2,Epoch,2,0,NA,NA,9634,0,0,0,10
plate2-H1,24-07-08 Epoch H7,H7,0,0,0,1,1,24-07-08,2,Epoch,2,0,NA,NA,0,1,1,9723,11
plate2-A5,24-07-08 Epoch A9,A9,1,0,0,1,2,24-07-08,2,Epoch,2,0,NA,NA,0,5177,2,623,5
plate2-B5,24-07-08 Epoch B9,B9,0,1,1,0,2,24-07-08,2,Epoch,2,0,NA,NA,0,10,6000,0,46
plate2-C5,24-07-08 Epoch C9,C9,1,0,0,0,1,24-07-08,2,Epoch,2,0,NA,NA,0,7448,3,0,6
plate2-D5,24-07-08 Epoch D9,D9,0,1,0,0,1,24-07-08,2,Epoch,2,0,NA,NA,0,0,3717,0,36
plate2-E5,24-07-08 Epoch E9,E9,0,0,1,0,1,24-07-08,2,Epoch,2,0,NA,NA,9387,14,0,0,24
plate2-F5,24-07-08 Epoch F9,F9,0,0,0,1,1,24-07-08,2,Epoch,2,0,NA,NA,0,0,0,9738,10
plate2-G5,24-07-08 Epoch G9,G9,1,1,0,0,2,24-07-08,2,Epoch,2,0,NA,NA,1,0,4693,0,38
plate2-H5,24-07-08 Epoch H9,H9,1,0,1,0,2,24-07-08,2,Epoch,2,0,NA,NA,2096,4065,3,3,19
plate2-A7,24-07-08 Epoch A10,A10,1,1,1,1,4,24-07-08,2,Epoch,2,0,NA,NA,0,11,3384,1,65
plate2-B7,24-07-08 Epoch B10,B10,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-C7,24-07-08 Epoch C10,C10,0,1,0,1,2,24-07-08,2,Epoch,2,0,NA,NA,0,53,2812,0,92
plate2-D7,24-07-08 Epoch D10,D10,0,0,1,1,2,24-07-08,2,Epoch,2,0,NA,NA,846,0,4,5164,36
plate2-E7,24-07-08 Epoch E10,E10,1,1,1,0,3,24-07-08,2,Epoch,2,0,NA,NA,4,9,3375,1,58
plate2-F7,24-07-08 Epoch F10,F10,1,1,0,1,3,24-07-08,2,Epoch,2,0,NA,NA,0,0,2633,5,62
plate2-G7,24-07-08 Epoch G10,G10,1,0,1,1,3,24-07-08,2,Epoch,2,0,NA,NA,943,6362,2,479,10
plate2-H7,24-07-08 Epoch H10,H10,0,1,1,1,3,24-07-08,2,Epoch,2,0,NA,NA,2,15,3662,4,146
plate2-A9,24-07-08 Epoch A11,A11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-B9,24-07-08 Epoch B11,B11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-C9,24-07-08 Epoch C11,C11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-D9,24-07-08 Epoch D11,D11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-E9,24-07-08 Epoch E11,E11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-F9,24-07-08 Epoch F11,F11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-G9,24-07-08 Epoch G11,G11,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-H9,24-07-08 Epoch H11,H11,0,1,0,1,2,24-07-08,2,Epoch,2,0,NA,NA,0,3,3265,0,85
plate2-A11,24-07-08 Epoch A12,A12,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-B11,24-07-08 Epoch B12,B12,1,1,1,1,4,24-07-08,2,Epoch,2,0,NA,NA,0,3,3891,0,51
plate2-C11,24-07-08 Epoch C12,C12,0,1,1,1,3,24-07-08,2,Epoch,2,0,NA,NA,0,4,4149,0,51
plate2-D11,24-07-08 Epoch D12,D12,1,0,1,1,3,24-07-08,2,Epoch,2,0,NA,NA,829,5421,2,677,12
plate2-E11,24-07-08 Epoch E12,E12,1,1,0,1,3,24-07-08,2,Epoch,2,0,NA,NA,1,3,4787,0,37
plate2-F11,24-07-08 Epoch F12,F12,1,1,1,0,3,24-07-08,2,Epoch,2,0,NA,NA,0,0,3755,0,48
plate2-G11,24-07-08 Epoch G12,G12,0,0,1,1,2,24-07-08,2,Epoch,2,0,NA,NA,626,0,1,6935,10
plate2-H11,24-07-08 Epoch H12,H12,0,0,0,0,0,24-07-08,2,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-A1,24-07-08 H1 A7,A7,1,1,0,0,2,24-07-08,2,H1,2,48,2,NA,0,0,4614,0,146
plate2-B1,24-07-08 H1 B7,B7,1,0,1,0,2,24-07-08,2,H1,2,48,2,NA,1,1122,2,0,66
plate2-C1,24-07-08 H1 C7,C7,1,0,0,1,2,24-07-08,2,H1,2,48,2,NA,0,870,1,163,119
plate2-D1,24-07-08 H1 D7,D7,0,1,1,0,2,24-07-08,2,H1,2,48,2,NA,0,0,9390,0,120
plate2-E1,24-07-08 H1 E7,E7,1,0,0,0,1,24-07-08,2,H1,2,48,2,NA,0,256,3,0,145
plate2-F1,24-07-08 H1 F7,F7,0,1,0,0,1,24-07-08,2,H1,2,48,2,NA,0,0,9430,0,117
plate2-G1,24-07-08 H1 G7,G7,0,0,1,0,1,24-07-08,2,H1,2,48,2,NA,6,0,2,0,145
plate2-H1,24-07-08 H1 H7,H7,0,0,0,1,1,24-07-08,2,H1,2,48,2,NA,0,0,6,1186,145
plate2-A5,24-07-08 H1 A9,A9,1,0,0,1,2,24-07-08,2,H1,2,48,2,NA,0,1297,1,180,26
plate2-B5,24-07-08 H1 B9,B9,0,1,1,0,2,24-07-08,2,H1,2,48,2,NA,0,1,9171,0,128
plate2-C5,24-07-08 H1 C9,C9,1,0,0,0,1,24-07-08,2,H1,2,48,2,NA,0,832,0,0,106
plate2-D5,24-07-08 H1 D9,D9,0,1,0,0,1,24-07-08,2,H1,2,48,2,NA,0,0,9336,0,108
plate2-E5,24-07-08 H1 E9,E9,0,0,1,0,1,24-07-08,2,H1,2,48,2,NA,7,0,0,0,145
plate2-F5,24-07-08 H1 F9,F9,0,0,0,1,1,24-07-08,2,H1,2,48,2,NA,0,0,1,988,145
plate2-G5,24-07-08 H1 G9,G9,1,1,0,0,2,24-07-08,2,H1,2,48,2,NA,0,0,5492,0,146
plate2-H5,24-07-08 H1 H9,H9,1,0,1,0,2,24-07-08,2,H1,2,48,2,NA,1,1016,1,1,95
plate2-A7,24-07-08 H1 A10,A10,1,1,1,1,4,24-07-08,2,H1,2,48,2,NA,0,0,7937,0,116
plate2-B7,24-07-08 H1 B10,B10,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-C7,24-07-08 H1 C10,C10,0,1,0,1,2,24-07-08,2,H1,2,48,2,NA,0,0,9185,1,75
plate2-D7,24-07-08 H1 D10,D10,0,0,1,1,2,24-07-08,2,H1,2,48,2,NA,10,0,4,161,145
plate2-E7,24-07-08 H1 E10,E10,1,1,1,0,3,24-07-08,2,H1,2,48,2,NA,0,0,5838,0,146
plate2-F7,24-07-08 H1 F10,F10,1,1,0,1,3,24-07-08,2,H1,2,48,2,NA,0,0,6158,0,145
plate2-G7,24-07-08 H1 G10,G10,1,0,1,1,3,24-07-08,2,H1,2,48,2,NA,0,647,1,21,145
plate2-H7,24-07-08 H1 H10,H10,0,1,1,1,3,24-07-08,2,H1,2,48,2,NA,0,0,9055,1,104
plate2-A9,24-07-08 H1 A11,A11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-B9,24-07-08 H1 B11,B11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-C9,24-07-08 H1 C11,C11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-D9,24-07-08 H1 D11,D11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-E9,24-07-08 H1 E11,E11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-F9,24-07-08 H1 F11,F11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-G9,24-07-08 H1 G11,G11,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-H9,24-07-08 H1 H11,H11,0,1,0,1,2,24-07-08,2,H1,2,48,2,NA,0,0,9064,0,90
plate2-A11,24-07-08 H1 A12,A12,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-B11,24-07-08 H1 B12,B12,1,1,1,1,4,24-07-08,2,H1,2,48,2,NA,0,0,5885,0,146
plate2-C11,24-07-08 H1 C12,C12,0,1,1,1,3,24-07-08,2,H1,2,48,2,NA,0,0,8759,0,94
plate2-D11,24-07-08 H1 D12,D12,1,0,1,1,3,24-07-08,2,H1,2,48,2,NA,0,778,0,15,27
plate2-E11,24-07-08 H1 E12,E12,1,1,0,1,3,24-07-08,2,H1,2,48,2,NA,0,0,6673,0,146
plate2-F11,24-07-08 H1 F12,F12,1,1,1,0,3,24-07-08,2,H1,2,48,2,NA,0,0,7320,0,146
plate2-G11,24-07-08 H1 G12,G12,0,0,1,1,2,24-07-08,2,H1,2,48,2,NA,15,0,3,118,146
plate2-H11,24-07-08 H1 H12,H12,0,0,0,0,0,24-07-08,2,H1,2,48,2,NA,NA,NA,NA,NA,NA
plate2-A1,24-07-08 Epoch A7,A7,1,1,0,0,2,24-07-08,3,Epoch,2,0,NA,NA,0,0,4528,0,77
plate2-B1,24-07-08 Epoch B7,B7,1,0,1,0,2,24-07-08,3,Epoch,2,0,NA,NA,708,3871,4,0,36
plate2-C1,24-07-08 Epoch C7,C7,1,0,0,1,2,24-07-08,3,Epoch,2,0,NA,NA,0,6929,7,38,10
plate2-D1,24-07-08 Epoch D7,D7,0,1,1,0,2,24-07-08,3,Epoch,2,0,NA,NA,0,1,3286,0,145
plate2-E1,24-07-08 Epoch E7,E7,1,0,0,0,1,24-07-08,3,Epoch,2,0,NA,NA,0,6162,11,4,13
plate2-F1,24-07-08 Epoch F7,F7,0,1,0,0,1,24-07-08,3,Epoch,2,0,NA,NA,1,2,4408,0,145
plate2-G1,24-07-08 Epoch G7,G7,0,0,1,0,1,24-07-08,3,Epoch,2,0,NA,NA,8735,0,6,0,20
plate2-H1,24-07-08 Epoch H7,H7,0,0,0,1,1,24-07-08,3,Epoch,2,0,NA,NA,1,0,0,8795,14
plate2-A5,24-07-08 Epoch A9,A9,1,0,0,1,2,24-07-08,3,Epoch,2,0,NA,NA,0,4653,14,385,27
plate2-B5,24-07-08 Epoch B9,B9,0,1,1,0,2,24-07-08,3,Epoch,2,0,NA,NA,0,1,5174,0,68
plate2-C5,24-07-08 Epoch C9,C9,1,0,0,0,1,24-07-08,3,Epoch,2,0,NA,NA,0,7168,13,0,11
plate2-D5,24-07-08 Epoch D9,D9,0,1,0,0,1,24-07-08,3,Epoch,2,0,NA,NA,0,1,4603,0,145
plate2-E5,24-07-08 Epoch E9,E9,0,0,1,0,1,24-07-08,3,Epoch,2,0,NA,NA,7805,10,8,0,67
plate2-F5,24-07-08 Epoch F9,F9,0,0,0,1,1,24-07-08,3,Epoch,2,0,NA,NA,0,0,2,9067,8
plate2-G5,24-07-08 Epoch G9,G9,1,1,0,0,2,24-07-08,3,Epoch,2,0,NA,NA,29,0,5077,0,133
plate2-H5,24-07-08 Epoch H9,H9,1,0,1,0,2,24-07-08,3,Epoch,2,0,NA,NA,403,5533,4,0,11
plate2-A7,24-07-08 Epoch A10,A10,1,1,1,1,4,24-07-08,3,Epoch,2,0,NA,NA,0,13,5607,0,129
plate2-B7,24-07-08 Epoch B10,B10,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-C7,24-07-08 Epoch C10,C10,0,1,0,1,2,24-07-08,3,Epoch,2,0,NA,NA,0,25,5806,0,112
plate2-D7,24-07-08 Epoch D10,D10,0,0,1,1,2,24-07-08,3,Epoch,2,0,NA,NA,696,0,2,7518,26
plate2-E7,24-07-08 Epoch E10,E10,1,1,1,0,3,24-07-08,3,Epoch,2,0,NA,NA,14,10,5019,0,103
plate2-F7,24-07-08 Epoch F10,F10,1,1,0,1,3,24-07-08,3,Epoch,2,0,NA,NA,0,0,5348,8,140
plate2-G7,24-07-08 Epoch G10,G10,1,0,1,1,3,24-07-08,3,Epoch,2,0,NA,NA,219,4556,9,133,18
plate2-H7,24-07-08 Epoch H10,H10,0,1,1,1,3,24-07-08,3,Epoch,2,0,NA,NA,0,16,5317,0,125
plate2-A9,24-07-08 Epoch A11,A11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-B9,24-07-08 Epoch B11,B11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-C9,24-07-08 Epoch C11,C11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-D9,24-07-08 Epoch D11,D11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-E9,24-07-08 Epoch E11,E11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-F9,24-07-08 Epoch F11,F11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-G9,24-07-08 Epoch G11,G11,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-H9,24-07-08 Epoch H11,H11,0,1,0,1,2,24-07-08,3,Epoch,2,0,NA,NA,0,3,4587,0,98
plate2-A11,24-07-08 Epoch A12,A12,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-B11,24-07-08 Epoch B12,B12,1,1,1,1,4,24-07-08,3,Epoch,2,0,NA,NA,0,1,6120,0,113
plate2-C11,24-07-08 Epoch C12,C12,0,1,1,1,3,24-07-08,3,Epoch,2,0,NA,NA,0,3,5378,0,121
plate2-D11,24-07-08 Epoch D12,D12,1,0,1,1,3,24-07-08,3,Epoch,2,0,NA,NA,323,4646,32,408,46
plate2-E11,24-07-08 Epoch E12,E12,1,1,0,1,3,24-07-08,3,Epoch,2,0,NA,NA,3,5,5686,0,133
plate2-F11,24-07-08 Epoch F12,F12,1,1,1,0,3,24-07-08,3,Epoch,2,0,NA,NA,0,0,4820,1,134
plate2-G11,24-07-08 Epoch G12,G12,0,0,1,1,2,24-07-08,3,Epoch,2,0,NA,NA,969,2,3,7158,25
plate2-H11,24-07-08 Epoch H12,H12,0,0,0,0,0,24-07-08,3,Epoch,2,0,NA,NA,NA,NA,NA,NA,NA
plate2-A1,24-07-08 H1 A7,A7,1,1,0,0,2,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-B1,24-07-08 H1 B7,B7,1,0,1,0,2,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-C1,24-07-08 H1 C7,C7,1,0,0,1,2,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-D1,24-07-08 H1 D7,D7,0,1,1,0,2,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-E1,24-07-08 H1 E7,E7,1,0,0,0,1,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-F1,24-07-08 H1 F7,F7,0,1,0,0,1,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-G1,24-07-08 H1 G7,G7,0,0,1,0,1,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-H1,24-07-08 H1 H7,H7,0,0,0,1,1,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-A5,24-07-08 H1 A9,A9,1,0,0,1,2,24-07-08,3,H1,2,48,3,NA,0,19,12,1,146
plate2-B5,24-07-08 H1 B9,B9,0,1,1,0,2,24-07-08,3,H1,2,48,3,NA,0,0,9,0,145
plate2-C5,24-07-08 H1 C9,C9,1,0,0,0,1,24-07-08,3,H1,2,48,3,NA,0,5,0,0,146
plate2-D5,24-07-08 H1 D9,D9,0,1,0,0,1,24-07-08,3,H1,2,48,3,NA,0,2,32,0,146
plate2-E5,24-07-08 H1 E9,E9,0,0,1,0,1,24-07-08,3,H1,2,48,3,NA,0,4,2,0,145
plate2-F5,24-07-08 H1 F9,F9,0,0,0,1,1,24-07-08,3,H1,2,48,3,NA,0,0,1,0,145
plate2-G5,24-07-08 H1 G9,G9,1,1,0,0,2,24-07-08,3,H1,2,48,3,NA,0,0,1,1,145
plate2-H5,24-07-08 H1 H9,H9,1,0,1,0,2,24-07-08,3,H1,2,48,3,NA,0,16,0,0,145
plate2-A7,24-07-08 H1 A10,A10,1,1,1,1,4,24-07-08,3,H1,2,48,3,NA,0,1,12,1,145
plate2-B7,24-07-08 H1 B10,B10,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-C7,24-07-08 H1 C10,C10,0,1,0,1,2,24-07-08,3,H1,2,48,3,NA,0,0,64,0,145
plate2-D7,24-07-08 H1 D10,D10,0,0,1,1,2,24-07-08,3,H1,2,48,3,NA,0,0,0,0,145
plate2-E7,24-07-08 H1 E10,E10,1,1,1,0,3,24-07-08,3,H1,2,48,3,NA,0,1,9,0,145
plate2-F7,24-07-08 H1 F10,F10,1,1,0,1,3,24-07-08,3,H1,2,48,3,NA,0,0,0,0,145
plate2-G7,24-07-08 H1 G10,G10,1,0,1,1,3,24-07-08,3,H1,2,48,3,NA,0,0,23,0,146
plate2-H7,24-07-08 H1 H10,H10,0,1,1,1,3,24-07-08,3,H1,2,48,3,NA,0,0,27,0,145
plate2-A9,24-07-08 H1 A11,A11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
plate2-B9,24-07-08 H1 B11,B11,0,0,0,0,0,24-07-08,3,H1,2,48,3,NA,NA,NA,NA,NA,NA
